nodenumber,int-01_acu_33321.dat,int-01_acu_33331.dat,int-01_acu_33341.dat,int-01_acu_33351.dat,int-01_acu_33361.dat,int-01_acu_33371.dat,int-01_acu_33381.dat,int-01_acu_33391.dat,int-01_acu_33401.dat,int-01_acu_33411.dat,int-01_acu_33421.dat,int-01_acu_33431.dat,int-01_acu_33441.dat,int-01_acu_33451.dat,int-01_acu_33461.dat,int-01_acu_33471.dat,int-01_acu_33481.dat,int-01_acu_33491.dat,int-01_acu_33501.dat,int-01_acu_33511.dat,int-01_acu_33521.dat,int-01_acu_33531.dat,int-01_acu_33541.dat,int-01_acu_33551.dat,int-01_acu_33561.dat,int-01_acu_33571.dat,int-01_acu_33581.dat,int-01_acu_33591.dat,int-01_acu_33601.dat,int-01_acu_33611.dat,int-01_acu_33621.dat,int-01_acu_33631.dat,int-01_acu_33641.dat,int-01_acu_33651.dat,int-01_acu_33661.dat,int-01_acu_33671.dat,int-01_acu_33681.dat,int-01_acu_33691.dat,int-01_acu_33701.dat,int-01_acu_33711.dat,int-01_acu_33721.dat,int-01_acu_33731.dat,int-01_acu_33741.dat,int-01_acu_33751.dat,int-01_acu_33761.dat,int-01_acu_33771.dat,int-01_acu_33781.dat,int-01_acu_33791.dat,int-01_acu_33801.dat,int-01_acu_33811.dat
37,(29.855722982742492+0j),(5565.627220037158-7751.589424790915j),(-7008.10505348623+7267.673023934352j),(4532.527543836085+347.7841999450555j),(342.1441331438306+7773.249352682104j),(-7978.565755976491-4008.6072044132006j),(-9034.642789727226+7862.248376547594j),(-2153.5519751171187-1355.938540628128j),(4038.5249621380053+2031.1864950930535j),(-2938.2223075176385+13611.327200467116j),(2953.1229562832455+3823.9218917224316j),(-13883.085803212607+11492.943919269175j),(7022.45980245957+2598.2689874979264j),(2164.2413343918297+1421.915503925551j),(1749.9982708753796+1934.7921049588665j),(-4422.0072823721375-4378.233730901148j),(4326.626593159475-5852.108388548212j),(552.3336946560557-1862.0913212400008j),(-3340.9252910938744+2271.2854838307026j),(-2342.515724763558-4218.5236959767835j),(-12366.762294300122+4079.3689340688234j),(3356.1687726449177+303.339720993011j),(-1242.707973630524+25.76163792167891j),(-4367.323745819186+1996.3486546579015j),(3246.283656926984+1279.9316795831091j),(346.45760122931745-1244.888610409594j),(2784.3033600286167-4447.713826045685j),(-161.2890676385429-2243.091433518828j),(1704.9340772168173-3452.450823251479j),(2079.6553931468134-3555.983422194414j),(584.3901517571205+2190.594198426707j),(-1224.1320700325612-2069.0230927166126j),(-2313.2005284340767-1659.0911210193044j),(-919.8214889865925+7438.973780271794j),(1904.1089990931202+223.8485879153802j),(237.09219684793123+759.0061604067644j),(-3952.0961868687355-7852.831892463122j),(1581.4964449804056-3896.660828406445j),(7763.875994192752-2638.864259726058j),(-1011.7575058038208-1126.705613280624j),(3643.5723354499587+375.9492386717568j),(-3854.7116142770365-496.1325206151682j),(6694.183907242455-1394.1144690715353j),(1834.1757621638847+969.0448999139857j),(3843.8139210548215+2606.842844275827j),(1279.9202819176558+1086.1104996961778j),(-1450.7407083539329+1681.43107563578j),(-2485.7283026452947-4094.888386622908j),(6283.030937897294-1527.5177147978238j),(-6175.25280597315+3119.7898788302955j)
38,(29.289246052912176+0j),(5580.150073917888-7762.785353663241j),(-7021.747224959054+7272.926082680015j),(4537.376255883845+350.5071298130046j),(350.3645864383407+7775.464777845129j),(-7971.441647266653-4040.5302897875267j),(-9041.625174979872+7863.023688436528j),(-2160.715468106627-1359.5891871803808j),(4033.7377138743223+2031.4618741364393j),(-2947.219305713816+13621.101077020845j),(2945.713526948045+3827.018492064584j),(-13887.525396736295+11487.430067630277j),(7023.758534442946+2602.790452601197j),(2173.328310466672+1418.8638987247107j),(1756.7615766427348+1949.542639278725j),(-4421.443313193536-4381.034362796596j),(4330.709979506501-5865.6135314440635j),(543.9621473656096-1866.0584859466971j),(-3338.917887350689+2276.2014008247324j),(-2356.0817162616218-4215.109730197718j),(-12380.997267251198+4068.4334276875234j),(3350.7304449544044+287.64654901775083j),(-1236.103405704274+17.176362028767215j),(-4366.571134159838+1987.2414757083445j),(3255.380267537305+1282.2846843458449j),(328.6567860573248-1248.376568734583j),(2779.3272388698406-4455.324272228029j),(-156.87575029228032-2233.0996494635137j),(1703.8237173115979-3458.1845081394895j),(2076.1505396889356-3550.7124524492874j),(595.9319653058812+2188.835657249251j),(-1224.1025021603086-2078.978835461002j),(-2307.6743660843285-1674.3872199258533j),(-922.1036475067586+7438.526167767056j),(1893.911677426309+215.31304072426383j),(240.80245183608105+751.4205367003308j),(-3960.333054952137-7854.649254884389j),(1595.2417519959263-3896.428081821095j),(7751.48884351175-2622.427042524498j),(-1017.5492207862927-1119.8116247044459j),(3644.72867607884+366.52559346290064j),(-3856.862599313922-497.40650448390727j),(6695.838288625454-1380.0066311946607j),(1825.7303326052665+978.1523076153203j),(3841.0364808835925+2596.703526240821j),(1284.2983902809547+1080.4381741728894j),(-1462.932387674335+1678.8527462367779j),(-2480.202218708032-4104.675467725368j),(6291.164752905733-1538.4374801979093j),(-6180.708500376275+3132.068177822542j)
39,(29.207909951686773+0j),(5589.194669338541-7768.035304115823j),(-7031.474711376873+7271.499703378553j),(4540.602993544358+354.31710661937194j),(356.240166301587+7766.996539791726j),(-7962.361938501693-4060.912641722647j),(-9038.521970623317+7859.439664435142j),(-2164.1015459177574-1360.3873961356874j),(4028.58195269761+2026.4629703954479j),(-2954.545533937809+13626.65344816288j),(2941.144530431069+3824.4114790651074j),(-13884.576995794912+11476.528953057697j),(7017.165077791362+2604.0979081132073j),(2180.8461317485244+1409.6225413791738j),(1758.5397406873199+1960.147020595057j),(-4418.25829168306-4381.258996569409j),(4331.756826984098-5875.903961643797j),(540.6917663869615-1867.2083577466553j),(-3336.073540437118+2271.421777064184j),(-2368.6976752591527-4213.440274646159j),(-12381.93418390035+4053.8670504584243j),(3343.738643092909+276.1092633726105j),(-1232.8037970833066+12.940947083830771j),(-4363.379539806376+1976.8687492834129j),(3257.4781335843636+1282.4974502956213j),(311.89911495499615-1248.8189300366616j),(2776.828576033891-4459.334116419472j),(-152.73810050841928-2226.107132206391j),(1702.130791309816-3456.5989743316927j),(2070.2665279148587-3546.676034565143j),(601.969018581407+2179.9745799112684j),(-1231.7984751194156-2081.8568881132915j),(-2302.5224279253853-1682.9014084462633j),(-920.4863561317657+7436.160338809468j),(1883.411346889472+210.87110586056593j),(241.94166878383206+748.9527487778712j),(-3962.6431111432103-7855.102163980395j),(1610.3940150369383-3893.3711472314226j),(7746.701643079966-2612.637413391093j),(-1018.1240537611232-1116.765643440769j),(3648.829053577979+357.39609465043964j),(-3852.2280277699037-498.0487536111195j),(6693.075479781364-1367.0689917908487j),(1827.9474941264807+982.0268637733128j),(3834.367488973274+2582.917958676741j),(1289.4784279299074+1071.9205099939593j),(-1472.2929349857993+1679.410165287622j),(-2478.85141824491-4112.721990928874j),(6298.944767007898-1538.3968611566715j),(-6184.318121973607+3136.0770347903263j)
40,(29.343785996839543+0j),(5589.024778948646-7768.620734868259j),(-7032.52405322774+7267.17776484418j),(4542.352325048623+352.82995532216387j),(361.1088246163671+7761.278024484343j),(-7957.133789024924-4070.737605903123j),(-9035.078594412811+7854.935988744202j),(-2165.1879949280788-1362.9356615476097j),(4027.055776049404+2026.5846608595593j),(-2954.9045187992724+13627.593519697582j),(2939.4908558872003+3820.891401767346j),(-13878.939439006637+11466.361626181228j),(7010.334427434931+2600.7228116574734j),(2187.8117004217684+1403.9106116703967j),(1757.7279038475817+1966.5437517234525j),(-4418.050790846403-4379.8594559130215j),(4330.98813745828-5878.555443005393j),(536.7963962278619-1863.4714634534682j),(-3331.850602359595+2271.963709915091j),(-2371.361441435195-4211.104577013351j),(-12383.557501553089+4045.849206769636j),(3341.920789812626+265.4137953060813j),(-1234.693259868735+11.90354973604008j),(-4365.149932896913+1973.531940876416j),(3256.295098651515+1282.3247423317716j),(305.3612982618491-1247.6489435202361j),(2771.865825201903-4459.422516931865j),(-153.23381908223084-2216.178811362025j),(1701.892314828256-3456.388612819595j),(2068.460720115996-3541.540363313247j),(608.3762887237717+2175.7317569127895j),(-1235.568937130728-2084.683826762973j),(-2302.3023686006577-1690.0191888105076j),(-919.2216953667005+7434.631085446086j),(1878.2059848610902+208.99312994417423j),(244.20403328054803+743.1892038147594j),(-3963.2730101714837-7855.983811130466j),(1609.1933210614775-3889.4237108999914j),(7739.564486291859-2604.2643163734197j),(-1016.6294085378116-1113.3645097503725j),(3646.1876365794715+359.4934341167736j),(-3850.461469635631-495.36357405187505j),(6690.8498305080375-1364.808758131891j),(1832.9945904911347+983.235009928572j),(3834.022110175331+2575.671024893998j),(1292.2708999192837+1071.2397581246973j),(-1474.0365972892903+1682.7327001841636j),(-2481.515490863228-4117.214869189757j),(6297.118925691154-1537.9010352143546j),(-6187.437051581415+3138.6111285507172j)
41,(29.795473060148524+0j),(5592.495660022125-7766.972204737454j),(-7038.282937035452+7270.100766573447j),(4548.846792414041+356.96237919272914j),(363.3935931527124+7752.9870651182755j),(-7950.867445066038-4086.0062939634086j),(-9034.012513210095+7849.8417169600725j),(-2167.5293286092747-1364.5402847928158j),(4024.5145678209997+2026.5633165702802j),(-2959.2879147732738+13632.770947989331j),(2938.2288703390604+3819.47163925358j),(-13873.692566078298+11454.439637644122j),(6999.7245546883205+2598.24789281071j),(2194.9762351456134+1396.6352068414649j),(1758.1889450071878+1971.059129226292j),(-4416.038464055751-4378.473486334617j),(4332.060541404182-5885.319059729858j),(529.5616097341668-1865.8619293284817j),(-3334.534808922531+2269.3750932419675j),(-2381.9489325131754-4206.887999068329j),(-12388.928142838058+4037.9968015024506j),(3335.7612049600048+254.7450093492832j),(-1235.622147845409+11.538708517638124j),(-4367.144525230893+1965.3720476132187j),(3259.3862772397733+1283.1367606029223j),(293.20092858275484-1248.7074534699627j),(2770.912038302158-4460.314988646972j),(-154.21798007377316-2211.3283720133736j),(1701.154816544311-3454.835533305721j),(2060.218478965046-3537.5234752215115j),(611.6234664666267+2167.8881036921257j),(-1240.811957771087-2084.8092447177537j),(-2300.2779680995923-1694.5366651777563j),(-921.2498234191077+7434.709795077807j),(1869.764309189683+203.55795449759728j),(243.88697075858994+742.6978869130842j),(-3965.8116522617665-7858.415190479414j),(1617.7676724204352-3883.922455590989j),(7739.115101539165-2599.1446818781374j),(-1014.5684244931344-1108.6118011194371j),(3646.05561611725+350.2581666772785j),(-3848.6508996756384-495.56905267365556j),(6683.674441664123-1357.1514126116688j),(1839.1556861726594+979.3991129711737j),(3830.9363783540934+2565.827398815917j),(1296.5226598321583+1063.901567812943j),(-1480.1577003194584+1683.6499372357023j),(-2481.2985099526436-4122.9118569463235j),(6300.140758711115-1537.0284613588192j),(-6192.124479978645+3142.2713902560413j)
42,(31.23593693587368+0j),(5589.440436281619-7769.361843788491j),(-7045.003817387361+7262.7415828844j),(4550.336462623152+355.6050826792511j),(362.4635619093676+7747.890517910168j),(-7948.480701093647-4084.0218120580066j),(-9030.986941671945+7845.129075499427j),(-2165.5405186615576-1362.2477419550153j),(4022.2998492405063+2024.1375307651954j),(-2960.5499929834214+13634.768156968312j),(2938.3786112551393+3817.299107500309j),(-13871.634808656498+11453.11226978937j),(6996.48160773431+2599.7813531554434j),(2195.7799371393303+1390.513063275699j),(1753.8072551051555+1974.2854640337005j),(-4418.362619575449-4380.106208828032j),(4328.2250992469235-5888.296463017361j),(528.8973453284615-1860.7834475393079j),(-3335.1360696191587+2268.961089111268j),(-2384.6864242198635-4210.081570384564j),(-12387.787587444116+4034.8511798392665j),(3334.7302357961976+250.97767402509933j),(-1231.421435623295+12.589462062188513j),(-4370.224434577513+1968.5493217347785j),(3261.686263865872+1280.8642197229324j),(285.2239968084961-1246.1809111821121j),(2768.5448646645054-4461.138053793045j),(-148.9535792475893-2213.5814700562005j),(1698.188331447752-3452.9174204626224j),(2059.2552957042935-3531.6333909506134j),(610.1034117868091+2166.5219772480696j),(-1248.8544525538564-2087.219614504726j),(-2302.9994781510622-1698.3497528431935j),(-918.25435466174+7434.495126373473j),(1871.9543715501234+206.0737765713459j),(241.77729123422654+740.7345906147775j),(-3964.2594003908034-7862.992894829506j),(1619.67766675166-3883.0867435552072j),(7737.836372355928-2601.8944515062526j),(-1016.5959461041726-1110.2339782708068j),(3641.785171289599+352.2576460993831j),(-3847.6915026527695-489.34287792509053j),(6689.300324473546-1356.8025591232724j),(1840.5101368522983+983.1608007792258j),(3832.1748376814976+2566.6199521473027j),(1297.5095828631431+1062.9033556731329j),(-1482.5866994416522+1687.1404323087424j),(-2489.4017540668756-4123.843773734237j),(6294.426156480937-1541.7075971930067j),(-6188.627788681384+3143.239876858073j)
43,(31.53767207405835+0j),(5580.317285718569-7762.038528386693j),(-7044.638773584194+7257.0066187235925j),(4550.033779014697+352.9999739429815j),(353.13447143516015+7743.3535486204255j),(-7949.920021145183-4077.747204108559j),(-9035.014184743999+7842.526084812317j),(-2167.172463592137-1361.9122289270326j),(4019.469016014349+2028.1544721363045j),(-2964.9104707745864+13629.395794884698j),(2934.921822835659+3817.768807923687j),(-13868.156025890336+11446.246213475704j),(6996.004785998026+2597.9375162161296j),(2194.359102880963+1390.7553367869727j),(1747.8503594389322+1970.3126814721472j),(-4418.14429936184-4386.002361481186j),(4331.542000735856-5882.260479133789j),(528.1576572933039-1858.8766036773898j),(-3337.804268962605+2265.0171826752157j),(-2382.819158640349-4208.415165623156j),(-12387.293590737607+4038.358848897753j),(3330.057289447252+251.12457460392204j),(-1239.4561556757683+14.38447920396733j),(-4371.542501727071+1976.4919943564582j),(3261.7120085824417+1278.8877272060615j),(284.84160140108975-1246.5353025216248j),(2766.381147357069-4461.573547348888j),(-147.89370096376726-2213.5903590393377j),(1696.4919369691347-3449.418663496076j),(2054.620177341406-3528.144123382012j),(607.2255733002005+2163.876488307488j),(-1258.9706126122132-2085.940524272991j),(-2308.7818488545454-1692.503856062096j),(-917.6518820380265+7438.675736007709j),(1873.0151290898275+213.16396307898873j),(240.8517961607935+742.5960865040419j),(-3963.581922295354-7866.178345595644j),(1620.803512851881-3883.107677441625j),(7740.805699951434-2604.930747873919j),(-1019.589323780607-1113.0786998996334j),(3632.1285976313875+353.10446747609143j),(-3845.251256141456-487.49439196646824j),(6691.8583536739825-1359.2384705735176j),(1843.6095771199539+985.9339142050026j),(3828.068215730287+2573.211866924428j),(1290.802985775899+1068.1148695416966j),(-1483.614761162983+1687.4087295406202j),(-2496.663387957714-4123.145274945049j),(6283.271343364437-1540.8005203550474j),(-6188.512533565414+3138.001263597264j)
44,(30.576383004066642+0j),(5581.973083344959-7752.050307992582j),(-7046.114869245326+7254.949996231106j),(4553.872438040884+348.27654299034j),(359.8297062341112+7728.457499060735j),(-7937.794023948676-4081.861247240623j),(-9022.360091837822+7828.184719077487j),(-2165.7651511430913-1362.3974199121822j),(4013.7328108235274+2022.2038925624843j),(-2966.946455532562+13633.86849859576j),(2931.57043775973+3815.3400193470334j),(-13851.194583837196+11435.32922367728j),(6984.261267623844+2591.7892040016513j),(2194.4388040115114+1383.591064898278j),(1743.9488249189735+1973.8830700241836j),(-4412.118964603048-4384.4463166090245j),(4325.780438188892-5881.047054904264j),(516.0227703576645-1854.7045709361007j),(-3343.538105441798+2258.051787610116j),(-2391.7554503398565-4196.66564725438j),(-12382.790635795758+4039.448590141249j),(3323.0830888952114+251.5267531562676j),(-1236.4000499979622+14.51667931873343j),(-4379.239086064312+1972.363669529937j),(3266.0769384187142+1276.060861566996j),(272.3002608131351-1249.9130338914863j),(2760.609133023715-4467.724274588227j),(-153.79535059960392-2215.340019939604j),(1692.296576068612-3447.9500342066076j),(2042.9644907393058-3521.320852461558j),(608.8726428236146+2157.636086981507j),(-1263.4919791210655-2080.713803156188j),(-2301.399312566544-1699.6020888662401j),(-916.827101533101+7439.49296066185j),(1874.7668574671402+207.5818894516684j),(240.97119124430978+746.1121974299173j),(-3967.818418984686-7857.3978617552175j),(1625.0314797279855-3878.255878572204j),(7732.175676885753-2612.55621731872j),(-1015.3532220076036-1111.0034624434572j),(3625.4334060387373+346.6119869859725j),(-3846.3364989913725-488.4510400442169j),(6676.238389333899-1354.8445743724526j),(1852.7466466825103+979.3932886901534j),(3826.3960955354128+2563.80270034784j),(1301.7254538263408+1063.3740521213097j),(-1491.9112847569284+1691.090830732939j),(-2500.9368088367723-4116.862759889378j),(6284.34286737168-1538.0164909295693j),(-6186.11439324491+3139.1062573031613j)
45,(29.376678988948427+0j),(5566.078469938396-7744.361567354295j),(-7040.838804661152+7247.033749177716j),(4553.507455694692+344.60266411900454j),(346.96089269525885+7725.540920961992j),(-7938.3666196873055-4065.059840739177j),(-9020.275526007385+7820.665422370049j),(-2161.5206278312985-1359.4610828125674j),(4014.0620886360825+2024.2303648703946j),(-2963.7063417804866+13627.615533276909j),(2933.377264048605+3815.7699214997315j),(-13844.833761398566+11431.00300357239j),(6978.564312077425+2589.1010061418137j),(2188.891441132597+1390.5423567617117j),(1737.8451219862623+1969.4608063750484j),(-4412.682422398348-4388.0514097169325j),(4321.933638939081-5874.155816680164j),(512.9476387427158-1850.590784867486j),(-3343.8702981385454+2256.553575013293j),(-2384.9793892588877-4194.900786376245j),(-12374.389848093788+4048.8606997528605j),(3322.9966478875695+256.3228031418674j),(-1241.961129957368+21.572038349700602j),(-4380.382988633388+1984.469378457251j),(3265.561208160717+1269.3697774572488j),(273.9378331732348-1243.1057354169873j),(2754.812035485726-4467.794880158624j),(-152.51399674485467-2219.7584714022864j),(1688.047647617366-3447.3267680281447j),(2042.1628785756268-3516.4360071687443j),(599.123365599374+2157.2601730239576j),(-1270.1682986386538-2080.7407274687002j),(-2306.8032612583843-1695.20030193995j),(-913.3311342009275+7438.441764669927j),(1883.483820744332+217.27069040888404j),(241.45260140804223+750.4381810424716j),(-3967.3042788299826-7863.968415899487j),(1613.647461763022-3879.251108797913j),(7732.993710728126-2623.6158524000534j),(-1015.7818207845421-1114.5844317071906j),(3616.968999956067+352.9144497217819j),(-3844.532693912761-482.2734927330432j),(6676.597884007375-1365.3920609097324j),(1859.0898128855924+982.1761054053022j),(3832.348638376115+2571.5563399799657j),(1298.2828424726051+1068.2583096496865j),(-1491.7789833860109+1697.8153155597056j),(-2509.023192551989-4114.1316226516365j),(6268.341334923158-1537.1674686008987j),(-6185.255361415227+3135.2848987519337j)
46,(29.007936022899926+0j),(5548.183880156284-7738.377679135534j),(-7031.880053449062+7236.756935733827j),(4550.167156682942+338.595741444702j),(331.4943685909164+7725.969089937914j),(-7943.769032228282-4037.047372274911j),(-9017.762710649957+7816.764867481683j),(-2159.3536629071987-1359.7639125527066j),(4014.3860199587957+2026.7331872646052j),(-2960.520972968486+13619.193601823596j),(2935.8375291386574+3816.150216635647j),(-13829.668950797957+11428.33649635064j),(6978.910659674774+2588.280031592606j),(2181.642279719463+1400.8398882651081j),(1735.2391301045311+1958.8682621441087j),(-4413.263776366228-4391.68123427151j),(4315.895585046336-5864.230768838266j),(511.3261902065126-1848.4404194222238j),(-3344.0705069748756+2251.7455053328167j),(-2380.0682941213304-4194.784691240342j),(-12362.210862230582+4067.5118707653855j),(3322.334732520234+264.9583558267949j),(-1247.5106390050216+27.302159129081478j),(-4379.059805954916+1999.4332801356072j),(3271.125106793681+1257.0761565162002j),(278.66129337171265-1236.5341010750954j),(2750.3496825625853-4466.114958227832j),(-153.466232320609-2228.450491942883j),(1681.8684640533202-3445.87954075151j),(2036.7208108631798-3512.198264745556j),(588.2254300222373+2159.907815834295j),(-1280.9034097841686-2076.800345076056j),(-2311.1252450748625-1683.3241274832376j),(-904.9118629239088+7436.572652406687j),(1897.4308714684098+225.08734845691365j),(245.78294723620155+756.7034492129357j),(-3968.9183228635134-7863.3994498172315j),(1602.1584671025762-3885.1448017628654j),(7736.533498000321-2645.2087010725927j),(-1012.235682708432-1121.6535616146266j),(3608.0598022449276+357.7143636836551j),(-3840.9580351453606-471.52792290755724j),(6673.099435563487-1377.6419890451753j),(1869.3122452576376+981.8682530882284j),(3836.3331656632213+2578.9399211904424j),(1288.4922327999905+1077.3292952661404j),(-1486.6218148733496+1704.9209897962483j),(-2516.6780938754555-4104.299499367468j),(6248.065554261668-1536.894467300602j),(-6177.341377353134+3130.8564866555125j)
47,(29.77701405457657+0j),(5541.953169969474-7728.131930960302j),(-7021.0934130317055+7235.489264595851j),(4557.8325156208275+323.85516481707157j),(339.31125331260796+7716.892970730078j),(-7934.339972495701-4031.9121964495666j),(-9008.020152067344+7807.733580436417j),(-2156.2154640301464-1357.8400846614527j),(4015.356152292602+2023.7792585062698j),(-2949.0890481748984+13618.037731586333j),(2936.457646434052+3817.915732484681j),(-13819.10627541057+11420.7901920172j),(6975.724923202242+2582.7869257388043j),(2180.619932436447+1395.346338525956j),(1724.0689889636667+1968.7117813682023j),(-4412.2821685335575-4388.235255294925j),(4307.188472500374-5858.711905821881j),(506.5114553395633-1839.6022640044412j),(-3341.2989689536876+2256.4460209862264j),(-2374.5684588180857-4182.903523545212j),(-12354.863564501773+4073.672564085295j),(3328.810753415669+266.6036122164848j),(-1236.809163203651+30.813917618917365j),(-4392.364036096878+2003.4702717990017j),(3265.7082387564456+1248.3069635765319j),(278.6175278562123-1230.7903008022947j),(2737.0467279713503-4471.963996132079j),(-166.48200681653717-2225.958124620676j),(1677.4110769266385-3445.864203930327j),(2035.70984777797-3504.073758582105j),(593.3022786445913+2164.050761396751j),(-1276.126825472415-2072.899282262091j),(-2302.9351131686426-1688.0586120637217j),(-910.395441527654+7445.207916132062j),(1910.3382912871873+213.74171121586187j),(238.03720039347112+761.8137197560862j),(-3973.5402900148215-7859.146724560393j),(1592.8134568814644-3882.3379724298634j),(7718.443019993986-2655.2075291097353j),(-1021.2632572800882-1124.6089404655775j),(3593.9283244570715+363.0160305032861j),(-3845.448117080749-471.5502238785127j),(6661.000989949314-1391.4607293836289j),(1871.5355715467924+976.5565282029338j),(3845.105819491659+2579.425582142666j),(1298.466295719814+1081.0134510531302j),(-1486.1060514978194+1712.662359898485j),(-2510.1570445966518-4101.8119668123145j),(6247.339695985913-1534.1855650434265j),(-6172.662203270982+3131.0104674579143j)
48,(29.56590993527982+0j),(5522.54015607901-7707.231676067065j),(-6989.36076709048+7230.793535246339j),(4551.956734797119+294.11306543550853j),(356.3219469888581+7700.473094366851j),(-7926.4282935905885-4016.0777207219735j),(-8984.11631505811+7788.265786954724j),(-2138.3850338605585-1358.6932400921214j),(4019.156620475722+2012.846891630321j),(-2920.5898632086855+13619.763091012705j),(2930.1093586007173+3802.5812023581675j),(-13783.225664730762+11412.805739375668j),(6962.012044270587+2573.827541624422j),(2174.6795153431895+1395.0013842182043j),(1707.940075799599+1974.1336011248675j),(-4412.332289647313-4377.70158178267j),(4275.472200695853-5839.886048471408j),(492.8409464675351-1824.1135967102846j),(-3316.470018454688+2266.603876433671j),(-2360.7509171649835-4164.57611597662j),(-12326.291948578324+4085.922919953805j),(3330.1826178210304+266.8568665324249j),(-1229.2325667994855+36.69165033391948j),(-4401.723738123814+2013.0877975044323j),(3259.1816851285207+1229.3833043812328j),(278.1010079488128-1208.7464325980275j),(2726.4756059295332-4469.4863744197j),(-175.60575044380153-2228.6495744010563j),(1668.1165043658896-3437.3775753063383j),(2044.073694316151-3495.1226119686607j),(577.5545202565625+2166.976595502487j),(-1270.0308541823051-2054.2721124352424j),(-2290.133022199948-1689.8400744087362j),(-909.2112341044651+7437.38342732724j),(1932.5850435366235+201.47636264188534j),(236.62833945881772+765.983298430812j),(-3977.345825961272-7833.21430494378j),(1569.9204066974605-3886.1923607464873j),(7682.707171946964-2674.957160170429j),(-1032.434147243618-1133.615761543197j),(3563.5891653046+380.95803474176125j),(-3851.568260217931-470.7138891666815j),(6651.07801644268-1415.1597966634477j),(1880.4142150748369+967.6825526268724j),(3868.489725283085+2571.8911732864694j),(1309.2795726197867+1083.268203893093j),(-1475.4955651581065+1723.624986727843j),(-2500.5357889373104-4088.3031146659123j),(6238.621059457419-1541.383518538691j),(-6155.726434406624+3138.765968278183j)
49,(29.460132998705426+0j),(5514.839204933899-7711.084479609221j),(-7014.502787635921+7226.619898998725j),(4501.429072805802+310.59451865372057j),(339.3169817569468+7708.026030667051j),(-7960.822004236498-4063.964935840684j),(-9014.557849869338+7768.662637407093j),(-2150.10703117875-1363.1065148305784j),(3970.0078189927126+2014.9666693390027j),(-2998.707900370169+13629.475316021068j),(2869.4796251883627+3781.9716545118886j),(-13881.116425722135+11328.85611386732j),(6907.408496597475+2613.8379882201984j),(2130.0501331296537+1403.2333620983209j),(1665.403687416254+1996.987708616998j),(-4425.294641394231-4389.066976854994j),(4270.484642127865-5805.588386825271j),(457.4633314325313-1822.5550644383143j),(-3355.6742751037023+2242.567661212525j),(-2385.6406637967807-4205.7210565704145j),(-12394.474354732663+3935.4917553547284j),(3301.3033062699933+282.452293623161j),(-1249.0075262190435+6.269927707355187j),(-4436.9072607692315+1942.8921227176497j),(3206.709069453087+1267.8864574351314j),(250.41050931517105-1193.66265738535j),(2773.906922093573-4395.978678686831j),(-164.40730439387244-2218.0800966684487j),(1686.3758336623482-3407.1932922389624j),(2102.6078834975515-3483.055707266615j),(495.84403693101973+2173.8390843485754j),(-1252.6404518957227-2062.8069931410155j),(-2286.484412939882-1731.1889064242666j),(-1085.5828202883854+7392.457824840838j),(1879.595763945335+236.64081839094575j),(198.11922121914787+767.6594793185293j),(-3843.645113987903-7883.8253423253855j),(1615.9141612380492-3853.5764263673186j),(7696.6263062041435-2495.6127238120434j),(-1044.2688916860948-1150.4974840561856j),(3540.8406299059043+453.22311228313816j),(-3880.0783597541026-577.2680580651906j),(6641.065745182855-1247.0522563002246j),(1819.43571493446+996.1413319803605j),(3768.8273697493623+2635.6481881360505j),(1259.4155870303603+1099.9756079272722j),(-1531.5275383859332+1660.9371421553678j),(-2428.01943071303-4133.790976785311j),(6269.588775679196-1378.5400625551697j),(-6260.969873708936+2980.661513714836j)
